 Date , Market Price , Daily Inject/ Withdraw (in dth) , Beginning Inventory , Injection , Withdrawal ," Ending 
Inventory ", WACOG , Beginning Inventory Cost, Injections at MP , Withdraws at WACOG , Ending Inventory Cost , Ending Inventory Market Value 
6/1/2022,8.24,0,0,0,0,0,0,0,0,0,0,0
6/2/2022,8.41,0,0,0,0,0,0,0,0,0,0,0
6/3/2022,8.63,0,0,0,0,0,0,0,0,0,0,0
6/4/2022,8.09,30,0,30,0,30,8.09,0,242.55,0,242.55,242.55
6/5/2022,8.09,0,30,0,0,30,8.09,242.55,0,0,242.55,242.55
6/6/2022,8.09,10000,30,10000,0,10030,8.09,242.55,80850,0,81092.55,81092.55
6/7/2022,9.01,1645,10030,1645,0,11675,8.88,81092.55,14821.45,0,103670.13,105191.75
6/8/2022,9.17,0,11675,0,0,11675,8.88,103670.13,0,0,103670.13,107059.75
6/9/2022,9.4,0,11675,0,0,11675,8.88,103670.13,0,0,103670.13,109745
6/10/2022,7.8,0,11675,0,0,11675,8.88,103670.13,0,0,103670.13,91065
6/11/2022,8.55,-1645,11675,0,-1645,10030,8.88,103670.13,0,-14607.05,89063.07,85706.35
6/12/2022,8.55,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,85706.35
6/13/2022,8.55,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,85706.35
6/14/2022,8.79,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,88113.55
6/15/2022,8.13,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,81493.75
6/16/2022,7.54,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,75626.2
6/17/2022,7.81,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,78334.3
6/18/2022,6.99,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,70109.7
6/19/2022,6.99,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,70109.7
6/20/2022,6.99,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,70109.7
6/21/2022,6.99,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,70109.7
6/22/2022,6.55,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,65696.5
6/23/2022,6.56,0,10030,0,0,10030,8.88,89063.07,0,0,89063.07,65796.8
6/24/2022,6.56,893,10030,893,0,10923,6.75,89063.07,5853.62,0,73676.19,71600.27
6/25/2022,6.13,15,10923,15,0,10938,6.13,73676.19,91.88,0,67004.55,66995.25
6/26/2022,6.13,15,10938,15,0,10953,6.13,67004.55,91.88,0,67087.14,67087.13
6/27/2022,6.13,21,10953,21,0,10974,6.13,67087.14,128.63,0,67215.75,67215.75
6/28/2022,6.12,-551,10974,0,-551,10423,6.13,67215.75,0,-3374.88,63840.88,63736.65
6/29/2022,6.62,6678,10423,6678,0,17101,6.42,63840.88,44174.97,0,109850.9,113123.12
6/30/2022,6.75,-105,17101,0,-105,16996,6.42,109850.9,0,-674.48,109176.41,114723
